code_context,label,source
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
"import subprocess

def run_backup(folder_name):
    # Vulnerable to shell injection
    command = ""zip -r backup.zip "" + folder_name
    subprocess.call(command, shell=True)

def login(password):
    # Weak Cryptography (MD5 is broken)
    import hashlib
    h = hashlib.md5(password.encode())
    return h.hexdigest()",PENDING,user_suggestion
